task_name,instance_num,job_name,task_type,status,start_time,end_time,plan_cpu,plan_mem
M3,1.0,j_11624,1,Terminated,588143,588145,50.0,0.2
R9_1_8,1.0,j_11624,1,Terminated,588143,588156,50.0,0.2
J4_2_3,1.0,j_11624,1,Terminated,588143,588148,50.0,0.2
R7_6,1.0,j_11624,1,Terminated,588143,588149,50.0,0.2
J8_4_5_7,1.0,j_11624,1,Terminated,588143,588155,50.0,0.2
M6,1.0,j_11624,1,Terminated,588143,588147,50.0,0.2
M1,1.0,j_11624,1,Terminated,588143,588146,50.0,0.2
M2,1.0,j_11624,1,Terminated,588143,588146,50.0,0.2
M5,1.0,j_11624,1,Terminated,588143,588144,50.0,0.2
M7,1.0,j_12288,1,Terminated,522670,522674,100.0,0.49
R4_3,1.0,j_12288,1,Terminated,522670,522672,100.0,0.39
R10_9,5.0,j_12288,1,Terminated,522670,522676,100.0,0.49
M5_4,1.0,j_12288,1,Terminated,522670,522673,100.0,0.3
R2_1,1.0,j_12288,1,Terminated,522670,522672,100.0,0.39
M3_2,1.0,j_12288,1,Terminated,522670,522672,100.0,0.3
R8_7,1.0,j_12288,1,Terminated,522670,522674,100.0,0.39
R11_10,1.0,j_12288,1,Terminated,522670,522676,100.0,0.39
M1,1.0,j_12288,1,Terminated,522670,522672,100.0,0.3
J6_3_5,3.0,j_12288,1,Terminated,522670,522673,100.0,0.59
J9_6_8,5.0,j_12288,1,Terminated,522670,522676,100.0,0.79
M1,1.0,j_13816,1,Terminated,417911,417911,100.0,0.2
task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,2.0,j_21081,6,Terminated,331287,331314,30.0,0.05
task_ODk2MzU0ODg1MTY5MTExNTUwMg==,1.0,j_21081,6,Terminated,331287,331290,10.0,0.05
task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=,1.0,j_21081,6,Terminated,331287,331317,5.0,0.03
M1,1.0,j_24143,1,Terminated,483647,483647,50.0,0.2
M1,245.0,j_28651,1,Terminated,246449,246455,50.0,0.2
M4,395.0,j_28651,1,Terminated,246449,246571,50.0,0.39
R3_2,1.0,j_28651,1,Terminated,246449,246567,50.0,0.2
J5_3_4,275.0,j_28651,1,Terminated,246449,246935,50.0,0.39
